timestamp[ns],ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s],lin_acc_x[m/s^2],lin_acc_y[m/s^2],lin_acc_z[m/s^2]
1652274620267707648,0.0013698291731998324,-0.0011119003174826503,0.01426849327981472,0.13069014404248444,-9.825684370815754,-0.17899399182656778
1652274620270709248,0.003102261573076248,-0.0030587767250835896,0.01305466890335083,0.12944500281959773,-9.8294393394351,-0.17108784007821232
1652274620273713408,0.0023890393786132336,-0.002670862479135394,0.009219080209732056,0.10991443685158155,-9.82020623166561,-0.1744190120612271
1652274620276714752,0.0015126040671020746,-0.0009195325546897948,0.009781488217413425,0.11622357433261349,-9.82719945155382,-0.1722387636790052
1652274620279718912,0.000796420150436461,-0.003314330242574215,0.009778022766113281,0.1453275676740799,-9.850623581761122,-0.16849656320968642
1652274620282720512,0.0017528748139739037,-0.0031068988610059023,0.011051589623093605,0.15712300934540108,-9.857725522720813,-0.16955014564953744
1652274620285724928,0.003074473235756159,-0.0012757412623614073,0.009419242851436138,0.13991368026603013,-9.84504841197729,-0.1689732590770349
1652274620288726272,0.00023871823213994503,-0.0012172646820545197,0.011935523711144924,0.14562209364124573,-9.827655378627776,-0.1745836280384101
1652274620291730432,0.0017640830483287573,0.0005239780875854194,0.008838069625198841,0.16368435888867824,-9.827773452049493,-0.176503252723068
1652274620294737920,0.0008940685074776411,-0.0016744547756388783,0.012427317909896374,0.14741719689709135,-9.834043033838272,-0.16279292647428809
1652274620297742336,0.00016174162738025188,-0.0013013388961553574,0.01291264221072197,0.13250264595770275,-9.831588041901588,-0.1683094431397505
1652274620300743936,0.0022719595581293106,-0.0014997465768828988,0.013255498372018337,0.14316028837128542,-9.808804547685384,-0.17408678443217648
1652274620303748096,0.0032178445253521204,-0.0002940446138381958,0.012819251045584679,0.14265129766953177,-9.809477916902303,-0.16516878876015542
1652274620306749696,0.001483542611822486,-0.0009112382540479302,0.013637681491672993,0.1284184910497628,-9.822131646770238,-0.17368233181713147
1652274620309754112,0.002884838730096817,0.0009969581151381135,0.014432493597269058,0.12812149913087487,-9.831094705426692,-0.1730082867467776
1652274620312755456,0.004106204025447369,-0.0020059009548276663,0.013927082531154156,0.1281509078884497,-9.828530992418527,-0.1600108945403248
1652274620315759872,0.0001598047965671867,0.001124699367210269,0.014102873392403126,0.14415422217892482,-9.815371066594123,-0.15806891189338637
1652274620318761472,0.0015879435231909156,-5.5236774642253295e-05,0.013351024128496647,0.12453774062627926,-9.820658651608229,-0.1472642713577021
1652274620321765632,-0.0006704929983243346,-0.0019590312149375677,0.01312927808612585,0.10023015124849043,-9.822873989570141,-0.15135333990277722
1652274620324766976,-3.501801984384656e-05,-0.0011084509314969182,0.011518988758325577,0.11478644506842829,-9.811285258585213,-0.16096921817846596
1652274620327771392,0.0002757214824669063,-0.0030950834043323994,0.008502213284373283,0.10765155168720521,-9.789260473781823,-0.1624200197749771
1652274620330772992,9.68883978202939e-05,-0.0024478300474584103,0.011823147535324097,0.07593048488225322,-9.800620072185993,-0.160126721206028
1652274620333777152,0.00025932103744708,-0.00493632024154067,0.009413299150764942,0.07695250770663842,-9.822800339812039,-0.1868876128869131
1652274620336778240,0.0015975330024957657,-0.003136797808110714,0.007559327408671379,0.0943636886341963,-9.831648832178116,-0.19341737998183817
1652274620339782400,0.0015629332046955824,-0.004302835091948509,0.006993296090513468,0.10653741643284446,-9.837912568747997,-0.16523931497940791
1652274620342783744,0.0024333258625119925,-0.00604410283267498,0.00881560705602169,0.08564661322860047,-9.842789819395541,-0.15184897793261334
1652274620345787904,0.0027488109190016985,-0.0059074098244309425,0.006336240563541651,0.07900134826153517,-9.856526083803177,-0.15511506705647335
1652274620348789248,0.002877163467928767,-0.007246016059070826,0.007116126362234354,0.10024183255312964,-9.868336933106184,-0.14330559685979968
1652274620351793408,0.001221920014359057,-0.011241567321121693,0.004985742270946503,0.07222874885406344,-9.85683821849227,-0.11301992858625017
1652274620354794752,0.0013504114467650652,-0.011366240680217743,0.004061170853674412,0.05538813892265316,-9.85756419467926,-0.08769579171021469
1652274620357798656,-0.0008252484258264303,-0.013154920190572739,0.0014656234998255968,0.06368556871064938,-9.879141235715151,-0.06969160419241525
1652274620360800000,-0.0009175740415230393,-0.015959084033966064,0.0018574981950223446,0.044433276261319404,-9.901437238675355,-0.09245209199236705
1652274620363804160,-0.003752375254407525,-0.018911996856331825,-0.000885960238520056,0.0355435545524233,-9.907425080913304,-0.056997724977182224
1652274620366805248,-0.005347167141735554,-0.02198956161737442,-0.0010205149883404374,0.03018468298395164,-9.888235227274894,-0.024212675352662336
1652274620369809152,-0.005522239953279495,-0.023585941642522812,-0.0031204894185066223,0.04152300570465158,-9.8853897747159,-0.024523072459106333
1652274620372816384,-0.01027281116694212,-0.024437222629785538,-0.004302813205868006,0.043264273581141606,-9.888884046572446,-0.014704806904046562
1652274620375820800,-0.014830531552433968,-0.028988810256123543,-0.005815865006297827,0.03271104595668148,-9.862975698333978,0.03863044890118763
1652274620378822144,-0.020748542621731758,-0.0317133404314518,-0.006127499975264072,0.07363187995052431,-9.842049814683199,0.07025059891520068
1652274620381829888,-0.023485079407691956,-0.03508656099438667,-0.011248956434428692,0.052167523775179865,-9.8521550291121,0.05289256381383165
1652274620384834560,-0.02962113730609417,-0.03934824839234352,-0.010886204428970814,0.015631006954429903,-9.855763867259025,0.06555123928494286
1652274620387838720,-0.036250848323106766,-0.04046756029129028,-0.011889157816767693,0.035644142549799286,-9.862865808218716,0.034075071168749124
1652274620390839808,-0.041340310126543045,-0.04152718931436539,-0.015921443700790405,0.048366560589638535,-9.84894834202528,0.014994023083499631
1652274620393843968,-0.04537806287407875,-0.04170513525605202,-0.015829313546419144,0.05265184125998057,-9.817325707793236,0.07173297839348669
1652274620396845312,-0.047265972942113876,-0.04891599342226982,-0.015605015680193901,0.06840636842115781,-9.800389770561456,0.08080816935463808
1652274620399849216,-0.053325355052948,-0.049698229879140854,-0.01662922464311123,0.046656359138269904,-9.823850141125916,0.00651480698781088
1652274620402850304,-0.0577993169426918,-0.052467502653598785,-0.01578873209655285,0.0021739756175287767,-9.839832138633728,-0.029451016680849713
1652274620405854464,-0.06440950185060501,-0.05124577134847641,-0.017716150730848312,0.04910017666039057,-9.846957460469007,0.017866386482305825
1652274620408855552,-0.06887562572956085,-0.055537302047014236,-0.015282142907381058,0.0608069536675699,-9.863515796560048,0.050198698787088505
1652274620411859456,-0.06993020325899124,-0.05811578407883644,-0.018145158886909485,0.04418941190231126,-9.873255100286006,0.052084982891147956
1652274620414860544,-0.07455113530158997,-0.06188075244426727,-0.01937183551490307,0.05121434666961431,-9.893573081171512,-0.04871940174845513
1652274620417864704,-0.07544615119695663,-0.059300657361745834,-0.017636723816394806,0.0286983625494875,-9.879247618699074,-0.11445329499077052
1652274620420866048,-0.07605239003896713,-0.05824591964483261,-0.01938086748123169,-0.0038243668940151107,-9.838492414462566,-0.065523132001888
1652274620423869952,-0.0750013068318367,-0.06418098509311676,-0.021056443452835083,0.008980840908316894,-9.815718272596596,0.006220826726628001
1652274620426871296,-0.07934419810771942,-0.0675794705748558,-0.023072991520166397,0.06801299432255327,-9.852809693628549,0.0005907118851668201
1652274620429875456,-0.07962645590305328,-0.0719202384352684,-0.022505730390548706,0.03055757598353084,-9.87710709953904,-0.07595378355944994
1652274620432876544,-0.079459547996521,-0.07470469176769257,-0.02367972396314144,0.013190887218248099,-9.826004688811302,-0.0807964241179172
